WP_CD;WP_TTL
422;Bioenergy
423;Prenormative research
500;Demonstration projects
1;Agriculture science and technology
2;Archeology
3;Architecture
4;Automobile technology
5;Biology/biotechnology
6;Chemistry
7;Economics/economy
8;Energy technologies
9;Engineering technologies
10;Environmental sciences
11;Food science and technology
12;Forestry
13;General projects
14;Geological sciences
15;History
16;Innovation
17;Information Technology
18;Law
19;Management
20;Marine science and technology
21;Materials science and technology
22;Mathematics
23;Medical science and technology
24;Metrology
25;Networks
26;Physics
27;Scientific and technical information
28;Textiles science and technology
29;Botany
30;Wave energy
31;Wind energy
32;Hydrology/hydro-engineering
33;Mechanical engineering
34;Production engineering
35;Hardware
36;Software
37;International
1;General safety requirements
2;Specific safety requirements of mines
2.1;Mine fires and spontaneous combustion
2.2;Explosions
2.3;Rescue arrangements
2.4;Monitoring, telemetry, data presentation, remote control, automation and communication
2.5;Surface activities
2.6;Winning methods
2.7;Rock bursts, associated phenomena and gas outbursts
2.8;Materials technology
3;Specific safety requirements of the steel industry
3.1;Rolling mills
3.2;Finishing shops
3.3;Maintenance
3.4;Blast furnaces and upstream installations such as coking, ore preparation and sinter plants
3.5;Melting shops
1;Measures to combat air pollution at the place of work, inside plants and in the environment
2;Measures to combat fresh and sea water pollution
3;Impact studies
4;Wastes
5;Noise
1;Technical control of pollutants
2;Pneumoconiosis and environmental factors
3;Dust measurement and determination of dust properties
4;Noise and vibration
1;Business and industry projects
A;Research and development projects
A1;Long-term integrity of buildings and systems
A2;Decontamination for decommissioning purposes
A3;Dismantling techniques
A4;Treatment of specific waste materials
A5;Adaptation and qualification of remote controlled systems
A6;Estimation of radioactive waste quantities arising from decommissioning
C;Testing of new techniques in practice
C1;Pilot dismantling projects
C2;Alternative tests
C4;Studies
A;Waste management and associated projects
A.1;Studies of management systems
A.1.1;System studies
A.1.2;Harmonisation of radioactive waste management practices and policies
A.1.3;Comparative assessment of disposal practices in various management schemes for toxic and radioactive waste
A.1.4;Information of the public
A.1.5;Transmutation studies
A.2;Treatment of radioactive waste
A.2.1;Minimization of radioactive discharges
A.2.2;Reduction of waste volumes to be disposed of
A.2.3;Waste de-categorisation and actions at the source
A.2.4;Spent fuel conditioning for disposal
A.2.5;Potentialities of transmutation of long-lived radionuclides
A.3;Characterisation and qualification of waste forms, packages and their environment
A.3.1;Waste form characterisation and performance
A.3.2;Containment and barrier properties of the near-field (including modelling)
A.3.3;Radionuclide assay: development of standard methods and equipment for specific applications
A.3.4;Quality control of waste conditioning
A.4;Disposal of radioactive waste: research to back-up the development of underground repositories
A.4.1;Research related to sites and their characterisation
A.4.2;Research on gas flow
A.4.3;Radionuclide migration in the geosphere
A.4.4;Modelling in the presence of uncertainty and management of data in non homogenous systems
A.5;Method of evaluating the safety of disposal systems
A.5.1;Complements to the previous evaluations
A.5.2;Sensitivity studies
B;Construction and/or operation of underground facilities open to Community joint activities
B.1;The underground facility in the Asse Salt Mine (FRG)
B.2;The underground facility HADES in the argillaceous layer under the Mol Site (B)
B.4;Underground validation facility at Sellafield (UK)
A;Accident progression analysis
B;Behaviour and qualification of the containment system
C;Management and control of accidents
7.12;USE OF WASTE
2.6;MISCELLANEOUS
2.5;AGRICULTURE
1.10;ENERGY CROPS
1.9;BIOMASS HARVESTING
8.9;ULTRA-CLEAN COALS AND WASTE MANAGEMENT (WM)
1.6;COMPOST AND FERTILIZERS PRODUCTION
3.3;GAS AND CHARCOAL FROM GASIFICATION AND PYROLYSIS
1.9;THERMO-CHEMICAL TREATMENT
5.3;UNDERGROUND GASIFICATION
5;LIQUEFACTION AND GASIFICATION
5.1;GASIFICATION
5.2;LIQUEFACTION
1;OIL AND GAS
1.1;GEOPHYSICS AND PROSPECTING
1.2;PRODUCTION SYSTEMS
1.3;MISCELLANEOUS
1.4;DRILLING
AC10;Technical feasibility: Leading-edge Technology Demonstrator
AC20;Application feasibility: Service Demonstrator
AC30;Socio-political feasibility: IBC Teleworking Demonstrator
AC40;Advanced communications experiments
AC101;Scenario for the introduction of digital television and interactive multimedia services
AC102;Multimedia description languages
AC103;Advanced second generation image coding techniques
AC105;Image transcoding, post-processing, and upstream provision
AC106;Audio, speech and language technology for multimedia and virtual presence
AC108;Advanced image analysis and interpretation for telepresence
AC109;3D model building and image synthesis for telepresence
AC111;Advanced User Support for Telepresence
AC112;Telepresence and multimedia demonstrators
AC114;Interactive television in a multimedia environment
AC116;Cellular television
AC117;Interworking for digital television systems
AC119;Multimedia user access
AC120;Interactive image service architecture
AC121;Service interface, user guidance and information retrieval in multimedia distributive services
AC122;Copy protection for distribution services
AC124;Accounting and audit functions management for multimedia access
AC125;User protection against unsolicited services
AC202;Customer access photonic networks
AC203;Flexible broadband photonic links
AC204;Photonic multiplexing and transport
AC206;Applications of photonic switching and routing technology
AC208;Dedicated components for key applications in photonic networks
AC210;Hardware definition language (HDL) for photonic networks
AC301;System engineering, integration and evolution
AC303;Interworking between mobile, fixed and broadcast networks
AC304;Usage experiments on applications and network functionalities
AC305;High performance networking service provision for citizens
AC306;Networking of national hosts facilities
AC307;High performance access networks
AC309;Hierarchical multi-rate ATM network
AC310;Efficient multipoint-to-multipoint communication
AC311;ATM gigabit switching
AC313;Ensuring availability in high performance networks
AC315;ATM charging and accounting principles
AC316;High speed simulation techniques for high performance networks
AC318;Control architecture for high performance networks
AC401;Mobile information services
AC402;Mobile communications for emergency services and temporary applications
AC404;Mobile communications for specialised user requirements and applications
AC405;Mobile broadband communication services and applications
AC406;Mobile services in industrial environments
AC407;UMTS system demonstrators
AC408;Mobile broadband system demonstrators
AC409;Picocell broadband cableless system demonstrator
AC411;Advanced signal processing methods for mobile systems
AC413;Radio over fibre integration
AC414;Mobile communications network design and engineering
AC416;Quality of service in mobile communications
AC501;Multimedia communication space experiment
AC503;Services supporting an electronic marketplace
AC505;Service provision over mobile networks
AC506;Competitive service machine for a service application experiment
AC508;Service creation environment user experiment
AC509;Service deployment procedure
AC510;Service validation
AC511;Service and/or feature interaction
AC512;Management platform experiment
AC513;Management in a multi-provider environment
AC514;Security and privacy in communications management
AC515;User control of management services
AC601;Quality for confidence demonstrator
AC603;Application of security techniques for safety
AC605;Anonymity management
AC701;Technical guidelines for IBC implementation
AC702;Participation management
AC703;Dissemination and appreciation of results
AC705;Deployment and management of the ACTS information window
A02;Photonic technologies
A04;Mobility and personal communications networks
A06;Quality, security and safety of communication services and systems
F5;Plates and heavy beams
F6;Steel structures
F6;Steel structures
P5;Rolling of flat products/surface inspection
T1;Iron and steelmaking
T2;Continuous casting
T3;Rolling and product treatment
T4;On-line control
T4;On-line control
1;Software Technologies
1.1;Software Intensive Systems Engineering
1.11;Emerging Software Technologies
1.12;Emerging Software Technologies
1.13;Distributed Systems and Database Technology
1.14;Distributed Systems and Database Technology
1.2;Software Intensive Systems Engineering
2;Technologies for Components and Subsystems
2.11;Semiconductors-Enhancement of technology & manufacturing base
2.15;Semiconductors-Enhancement of technology & manufacturing base
2.2;Semiconductors - Microelectronics for product innovation
2.3;Semiconductors - Microelectronics for product innovation
3;Multimedia Systems
3.1;Multimedia Technology
3.11;Multimedia Systems Pilots
3.12;Multimedia Support Centres
4;Long Term Research
4.1;Openness to Ideas
4.3;Proactiveness
5.1;OMI Technology
5.12;OMI Exploitation and Awareness Actions
5.2;OMI Technology
6;Focused Cluster: High Performance Computing & Networking
6.1;HPCN Simulation and Design
6.12;HPCN Training and Best Practice
6.14;High Performance Networking Best Practice and Experiments
6.15;Parallel Computing Initiative
6.17;HPCN Education and Training
6.2;HPCN Simulation and Design
6.3;HPCN Simulation and Design
6.4;HPCN Embedded Systems
7;Focused Cluster: Technologies for Business Processes
7.1;Business Best Practice Pilots
7.2;Enterprise Systems Integration
7.3;Enterprise Systems Integration
8;Focused Cluster: Integration in Manufacturing
8.1;Information Technology for Product & Process Data Modelling
8.11;Intelligent Production Systems and Equipment
8.12;Intelligent Production Systems and Equipment
8.14;Intelligent Production Systems and Equipment
8.15;Intelligent Production Systems and Equipment
I;Research into science and technology policy options in Europe
III;Research into social exclusion and social integration in Europe
I.3;Methods, tools and approaches relevant to the preparation, monitoring and evaluation of science and technology policies
I.4;Horizontal and support activities
II.1;Effectiveness of policies and actions, European dimension and diversity
II.3;Education, training and economic development
III.1;Forms and processes of social exclusion and integration
III.3;Migration
III.4;Evaluation of the impact of social integration policies
1;Software Technologies
1.14;Stand-alone assessments
1;Software Technologies (The original programme is ESPRIT 4)
1.1;Software Intensive Systems Engineering
6;High Performance Computing & Networking (The original programme is ESPRIT 4)
8;Integration in Manufacturing (The original programme is ESPRIT 4)
